Title,Category,Medium,Dimensions,Year,Status,Image,Alt Text,Featured,Additional Images,Discount,Discount %,Description
Cherry Bloom's Quiet Reach,Botanical,Acrylic on canvas,17x22 inches,,Available,cherry-blossom-fit.jpeg,Painting of cherry blossoms,TRUE,cherry-blossom.jpeg|closeup-cherryblossoms.jpg,FALSE,,"When I painted this, I was feeling calm and a little hopeful. Cherry blossoms only stay for a short time, and that reminds me to slow down and enjoy small beautiful moments before they pass."
Amongst Her Roses,Botanical,Water Color on Paper,15x21 inches,,Available,woman-in-garden-water-color.jpg,Watercolor painting of a woman in a garden,TRUE,,FALSE,,"This painting came from watching my mother tend her garden every morning. I wanted to capture the quiet joy she carries when she is surrounded by flowers she grew with her own hands."
Fronds Drift Tropical Waters,Still Life,Acrylic on canvas,15x15 inches,,SOLD,tropical-waters.jpg,Palm leaf floating on Saphire Tropical waters,TRUE,,FALSE,,"I painted this after a trip to the coast, where I saw a single palm leaf floating peacefully on bright blue water. It felt like a small reminder that even drifting alone can look beautiful."
Wishes at Dusk,Botanical,Acrylic on canvas,12x12 inches,,Available,cotton-flower.jpg,Painting of a cotton flower against a sunset sky,TRUE,,FALSE,,"This piece is inspired by evenings when the sky turns soft orange and everything feels still. The cotton flower reminded me of a small wish floating quietly against the fading light."
Sheltered in the Downpour,Still Life,Acrylic on canvas,19x17 inches,,SOLD,wet-umbrella-in-rain.jpeg,Painting of a rainy day,TRUE,,FALSE,,"I painted this on a grey, rainy afternoon when I felt a bit lonely but also safe indoors. The wet umbrella became a symbol of small shelter during heavy days."
Black Pearl Ghost Ship of Memory,Landscape,Acrylic on canvas,15x15 inches,,SOLD,black-pearl.jpg,Painting of black pearl saling the black seas,TRUE,,FALSE,,"This one came from an old memory of pirate stories I loved as a child. I wanted the ship to feel like it was sailing through memory itself, half real and half dream."
Cradled by Clouds,Landscape,Acrylic on canvas,15x15 inches,,SOLD,full-moon-night-sky.jpg,Painting of a full moon glowing behind soft clouds at night,TRUE,,FALSE,,"I painted this during a night I could not sleep. Watching the moon rest gently inside soft clouds made me feel cared for, like the sky itself was holding something precious."
Bench for a Wandering Mind,Landscape,Acrylic on canvas,11x16 inches,,Available,moon-benc-and-lake.jpg,Painting of a bench by a lake under the moon,TRUE,,FALSE,,"This painting is about the quiet time I take to sit alone and think. The empty bench by the lake is where I imagine going when my mind needs rest under the moonlight."
Silence Poured Out,Still Life,Acrylic on canvas,17x15 inches,,Available,silver-teapot-pouring.jpg,Black and white painting of a silver teapot pouring a stream of water,TRUE,,FALSE,,"I was inspired by the simple ritual of pouring tea, slow and unhurried. There is a quiet peace in that single stream of water that I wanted to hold still on canvas."
"Ember Dew, After the Rain",Botanical,Acrylic on canvas,11x13 inches,,Available,emerald-leaves.jpg,Painting of emerald-green leaves,TRUE,,FALSE,,"This came from a walk right after rainfall, when everything green looks brighter and washed clean. I was feeling refreshed that day, like the storm had cleared something inside me too."
"Heald by a Thread, Maple Leaf",Botanical,Acrylic on canvas,12x15 inches,,SOLD,golden-leaf-in-the-brook.jpg,Painting of a golden autumn leaf hanging over a sparkling blue brook,TRUE,,FALSE,,"This painting is about letting go. A leaf hanging on by a thin thread over the brook reminded me of how we all hold on a little longer before we are ready to fall and move forward."
Wings of Borrowed Sky,Botanical,Acrylic on canvas,17x24 inches,,Available,butterfly.jpg,Painting of a butterfly,TRUE,,FALSE,,"I painted this butterfly thinking about freedom and change. It felt like it was carrying a small piece of the sky with it, borrowed for a while before flying on."
"Drifting Ember Soul, Jelly Fish",Landscape,Acrylic on canvas,17x24 inches,,Available,jelly-fish.jpg,Painting of a jellyfish,TRUE,,FALSE,,"This jellyfish inspired me because it moves without fighting the water, just glowing and drifting along. I was feeling tired that week, and painting it felt like learning to flow instead of struggle."
"Stone Against a Quiet Sky, Charminar",Landscape,Water Color on Paper,15x20 inches,,Available,charminaar-water-color-realistic.jpg,Realistic watercolor painting of the Charminar monument,TRUE,,FALSE,,"This is inspired by the Charminar, a monument that has stood strong through so many years. I wanted to show how old stone can feel calm and steady against a quiet sky."
"Monument Dissolving, Charminar",Landscape,Water Color on Paper,15x21 inches,,SOLD,char-minar-water-color.jpg,Watercolor painting of the Charminar monument,FALSE,,FALSE,,"This is a softer, looser version of the same monument. I painted it feeling that even strong old buildings can look gentle and dreamlike when the colors are allowed to bleed and blend."
Sunlit Coastal,Landscape,Water Color on Paper,12x17 inches,,Available,blue-beach-stones.jpg,Painting of blue stones on a beach,FALSE,,FALSE,,"I painted these stones under imagined moonlight, feeling calm and a little dreamy. The coast at night always feels like a place made for slow thinking and soft memories."

Sails Against Uncertainty,Landscape,Acrylic on canvas,12x17 inches,,Available,tall-ship-at-sea.jpg,Painting of a tall sailing ship with full sails on open water,FALSE,,FALSE,,"This ship is about courage. I was feeling unsure about my own future when I painted it, and giving the sails full wind felt like pushing forward despite not knowing what is ahead."
Words Unwritten,Still Life,Acrylic on canvas,10x16 inches,,Available,empty-letter.jpg,Still life painting of an empty letter,FALSE,,FALSE,,"This painting came from thoughts I never said out loud to someone. The blank page felt heavier than any words could, so I let the emptiness speak for itself."
"Fragile Vessel-Endless Journey, Paper Boat",Still Life,Acrylic on canvas,16x11 inches,,Available,paper-boat.jpg,Painting of a paper boat,FALSE,,FALSE,,"I think often about childhood, floating paper boats not knowing where they would end up. This painting is about trusting a journey even when the vessel carrying you feels small and fragile."
Roses Between the Lines,Still Life,Acrylic on canvas,15x15 inches,,Available,flowers-in-pages.jpg,Painting of Memorable flowers presereved in pages of a book,FALSE,,FALSE,,"This is inspired by the old habit of pressing flowers inside books to keep them forever. I liked the idea that some memories, like some flowers, are better kept quietly between the lines."

